IP:Port,Loss,Latency
162.159.195.46:2371,0%,9.06
162.159.192.10:8854,0%,9.08
188.114.99.165:942,0%,9.10
188.114.99.45:3854,0%,9.11
162.159.192.40:968,0%,9.11
162.159.192.30:8742,0%,9.11
188.114.98.240:8854,0%,9.14
188.114.98.247:4233,0%,9.15
188.114.99.64:987,0%,9.15
162.159.192.93:934,0%,9.16
188.114.99.188:908,0%,9.17
162.159.195.17:7559,0%,9.17
188.114.99.199:928,0%,9.18
162.159.195.219:1002,0%,9.18
188.114.98.60:7156,0%,9.18
188.114.98.240:988,0%,9.18
188.114.98.234:4500,0%,9.19
162.159.195.199:7559,0%,9.21
188.114.98.178:4233,0%,9.21
188.114.99.154:5956,0%,9.22
188.114.99.153:4500,0%,9.22
188.114.98.118:864,0%,9.23
188.114.99.196:7103,0%,9.24
162.159.195.113:4233,0%,9.24
188.114.99.138:864,0%,9.24
162.159.192.61:891,0%,9.24
162.159.192.54:878,0%,9.25
188.114.98.218:5279,0%,9.25
188.114.98.245:1002,0%,9.25
188.114.99.10:4500,0%,9.26
188.114.99.54:3854,0%,9.26
188.114.99.56:4500,0%,9.27
162.159.192.240:7559,0%,9.28
162.159.195.161:7156,0%,9.29
188.114.98.167:945,0%,9.30
188.114.99.228:1074,0%,9.30
188.114.98.187:894,0%,9.31
188.114.99.136:2408,0%,9.31
188.114.98.147:955,0%,9.33
188.114.98.41:4500,0%,9.33
188.114.98.22:942,0%,9.33
188.114.98.54:1387,0%,9.34
162.159.192.238:1074,0%,9.35
188.114.98.250:1010,0%,9.35
162.159.192.99:943,0%,9.35
162.159.195.17:3854,0%,9.36
188.114.98.206:878,0%,9.36
188.114.99.240:908,0%,9.37
162.159.192.46:7559,0%,9.37
188.114.99.196:2506,0%,9.38
188.114.98.213:8886,0%,9.39
188.114.98.93:928,0%,9.39
188.114.99.17:1070,0%,9.39
162.159.192.230:955,0%,9.39
162.159.195.61:7281,0%,9.40
188.114.99.18:8854,0%,9.40
188.114.98.61:1387,0%,9.40
188.114.99.196:1002,0%,9.40
188.114.98.156:859,0%,9.41
162.159.192.3:987,0%,9.42
162.159.192.59:942,0%,9.42
188.114.99.59:908,0%,9.43
162.159.192.204:891,0%,9.45
188.114.98.148:934,0%,9.46
188.114.98.110:1701,0%,9.46
