IP:Port,Loss,Latency
162.159.192.65:894,0%,6.08
188.114.98.68:500,0%,6.10
162.159.195.10:934,0%,6.10
188.114.99.27:4198,0%,6.12
162.159.195.230:890,0%,6.18
162.159.192.12:945,0%,6.18
188.114.97.213:1701,0%,6.21
188.114.99.205:894,0%,6.23
162.159.195.250:8886,0%,6.26
188.114.96.205:8742,0%,6.26
188.114.96.60:946,0%,6.27
162.159.195.191:4233,0%,6.27
188.114.96.60:2371,0%,6.29
188.114.96.45:7103,0%,6.30
162.159.192.211:943,0%,6.34
162.159.195.254:968,0%,6.38
188.114.97.113:988,0%,6.38
162.159.192.44:1074,0%,6.39
162.159.195.193:1074,0%,6.40
162.159.195.227:4500,0%,6.40
162.159.195.11:8742,0%,6.41
162.159.192.18:7281,0%,6.41
162.159.192.178:8319,0%,6.41
188.114.96.216:7152,0%,6.44
188.114.99.173:2371,0%,6.44
188.114.97.72:878,0%,6.46
188.114.99.121:4233,0%,6.46
188.114.96.162:908,0%,6.46
188.114.97.6:988,0%,6.48
162.159.195.97:1843,0%,6.48
188.114.96.61:3138,0%,6.48
188.114.98.200:8319,0%,6.50
188.114.97.171:908,0%,6.50
188.114.98.148:4500,0%,6.50
162.159.192.232:943,0%,6.50
188.114.97.210:934,0%,6.51
162.159.195.226:987,0%,6.51
162.159.192.73:7152,0%,6.52
188.114.96.39:7152,0%,6.52
162.159.192.238:7156,0%,6.52
162.159.192.152:1843,0%,6.52
188.114.96.172:2371,0%,6.53
162.159.195.164:955,0%,6.53
162.159.195.135:1010,0%,6.54
188.114.99.145:8742,0%,6.54
162.159.192.224:1180,0%,6.54
162.159.195.228:8854,0%,6.54
162.159.192.124:3581,0%,6.55
188.114.96.84:7152,0%,6.55
162.159.195.75:3138,0%,6.55
188.114.99.124:1701,0%,6.58
188.114.97.51:4233,0%,6.59
162.159.192.220:942,0%,6.62
188.114.98.127:7156,0%,6.62
162.159.195.203:878,0%,6.64
162.159.192.117:7156,0%,6.64
162.159.192.126:946,0%,6.64
188.114.99.217:1018,0%,6.68
188.114.96.156:880,0%,6.70
188.114.97.146:3138,0%,6.71
188.114.98.83:890,0%,6.72
162.159.195.240:939,0%,6.74
188.114.98.93:942,0%,6.76
162.159.192.203:987,0%,6.77
188.114.98.57:5279,0%,6.78
188.114.96.91:946,0%,6.79
162.159.195.181:2408,0%,6.80
162.159.192.196:987,0%,6.81
188.114.98.158:3581,0%,6.81
162.159.195.38:864,0%,6.82
162.159.192.110:945,0%,6.82
162.159.195.254:4500,0%,6.84
188.114.99.30:3854,0%,6.86
188.114.96.76:908,0%,6.86
188.114.99.47:4233,0%,6.87
188.114.98.225:4500,0%,6.88
188.114.98.207:903,0%,6.88
188.114.98.44:4177,0%,6.88
188.114.96.79:1010,0%,6.88
188.114.99.16:987,0%,6.89
188.114.98.11:4233,0%,6.90
188.114.96.91:7156,0%,6.90
162.159.192.163:4233,0%,6.90
188.114.98.207:891,0%,6.91
188.114.98.151:4177,0%,6.91
188.114.98.76:928,0%,6.92
188.114.97.128:5279,0%,6.93
188.114.97.89:968,0%,6.95
162.159.192.69:3581,0%,6.96
188.114.99.229:7152,0%,6.97
188.114.98.81:4500,0%,6.98
162.159.192.182:955,0%,6.98
188.114.96.246:7559,0%,6.99
188.114.97.102:5279,0%,6.99
188.114.96.209:1074,0%,7.00
188.114.99.31:7559,0%,7.00
162.159.192.139:891,0%,7.02
162.159.192.41:5279,0%,7.02
188.114.96.71:4500,0%,7.04
162.159.192.87:2371,0%,7.04
188.114.98.195:3854,0%,7.05
188.114.97.42:942,0%,7.05
162.159.192.25:2506,0%,7.05
188.114.97.16:500,0%,7.06
188.114.96.95:939,0%,7.06
162.159.195.179:4233,0%,7.06
162.159.192.245:1010,0%,7.07
162.159.195.150:8319,0%,7.08
188.114.96.19:854,0%,7.09
162.159.195.228:3476,0%,7.10
162.159.195.111:1070,0%,7.11
188.114.97.20:1180,0%,7.11
